Transaction_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Total_Cost,Discount_Rate,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country,Customer_Name,Customer_Phone,Customer_Email,Customer_Address,Product_List_Title
200,2020-01-01 20:32:26,1086,536,3,120.4368213,8265.374549,0.2,Online,High,WH-3,2-Day,Cancelled,Neutral,FALSE,Wrong Item,Wire Transfer,FALSE,West,Canada,Customer 200,+1-652-572-9306,customer.200.78@example.com,"275 Second St, Phoenix, USA",Product 53
321,2020-01-02 6:55:08,1078,523,6,475.7249936,4047.850479,,Reseller,Critical,WH-1,Overnight,Backorder,Satisfied,TRUE,Damaged,PayPal,TRUE,South,Mexico,Customer 321,+1-311-186-5760,customer.321.13@sample.com,"478 Third St, New York, USA",Product 33
989,2020-01-06 8:12:58,1077,535,3,146.400556,,0.05,Direct,Critical,WH-1,Overnight,Pending,Unsatisfied,TRUE,Damaged,PayPal,TRUE,West,Canada,Customer 989,+1-922-606-9032,customer.989.99@example.com,"843 Second St, Phoenix, USA",Product 6
682,2020-01-07 22:03:15,1027,546,6,19.37319355,8194.281993,,Reseller,Medium,WH-1,Express,Pending,Unsatisfied,FALSE,Wrong Item,Cash,TRUE,South,Canada,Customer 682,+1-237-853-5808,customer.682.66@demo.com,"153 Main St, Phoenix, USA",Product 68
484,2020-01-07 7:08:06,1052,556,8,193.221313,8331.329249,0.2,Direct,Low,WH-2,2-Day,Delivered,Satisfied,TRUE,Late,Cash,FALSE,South,Mexico,Customer 484,+1-986-360-9109,customer.484.3@sample.com,"264 Second St, New York, USA",Product 89
483,2020-01-01 21:11:21,1074,549,8,37.72697151,6894.375244,0.05,Reseller,Medium,WH-3,2-Day,Backorder,Unsatisfied,TRUE,Not Specified,PayPal,FALSE,South,USA,Customer 483,+1-775-800-3339,customer.483.31@example.com,"629 Third St, Los Angeles, USA",Product 27
757,2020-01-01 21:11:21,1061,547,7,193.9797749,4611.329101,0.15,Direct,Critical,WH-3,Express,Cancelled,Neutral,FALSE,Late,Credit Card,TRUE,South,Canada,Customer 757,+1-994-460-4335,customer.757.80@demo.com,"598 Main St, Los Angeles, USA",Product 83
985,2020-01-06 0:25:57,1040,542,1,486.807631,7623.669347,,Direct,Critical,WH-2,Overnight,Delivered,Neutral,TRUE,Not Specified,Credit Card,FALSE,North,Canada,Customer 985,+1-995-296-7191,customer.985.31@demo.com,"387 Main St, Los Angeles, USA",Product 13
795,2020-01-08 3:53:31,1014,533,1,455.0319595,6194.880827,,Direct,Medium,WH-1,Express,Delivered,Neutral,TRUE,Late,PayPal,FALSE,East,Mexico,Customer 795,+1-433-242-4481,customer.795.34@sample.com,"130 Third St, Los Angeles, USA",Product 54
459,2020-01-06 22:16:13,1040,529,8,339.6244672,5933.960844,,Partner,Critical,WH-3,Overnight,Pending,Unsatisfied,TRUE,Late,Credit Card,FALSE,South,USA,Customer 459,+1-896-264-5828,customer.459.35@demo.com,"526 Third St, Phoenix, USA",Product 35
826,2020-01-02 4:32:26,1039,521,1,142.0608125,4697.420196,,Reseller,Medium,WH-2,Overnight,Delivered,Unsatisfied,FALSE,Wrong Item,Cash,TRUE,East,Canada,Customer 826,+1-833-316-1097,customer.826.85@demo.com,"420 Third St, Chicago, USA",Product 40
116,2020-01-07 12:32:26,1080,535,8,426.6705205,5350.517196,,Direct,Critical,WH-2,Regular,Cancelled,Satisfied,FALSE,Not Specified,Cash,TRUE,East,Canada,Customer 116,+1-942-543-7496,customer.116.38@demo.com,"932 Second St, New York, USA",Product 60
